corpus,preloaded/lecorpus_3
subcorpus,Subcorpus_MLE_corpus
concordance size,61
query,"Query:[lemma_lc=""man""];Random sample:61;Negative filter:0 0 1 [#1670963|#1689025|#1816156|#1901097|#2376336|#2376537|#2392425|#2760511|#2838950|#2900324]"
Reference,Sentence
"Junior,",don''t know I got bare # Junior makes noise # tell me tell me one of your favourite films ah yeah batman returns oh yeah and spiderman x returns no it''s not return it''s spiderman three look this is this is the man yeah on norbit # laughs # the man yeah like this yeah.
"unknown,unknown",too much [ it''s a x ] too much of of it man it''s a vicious circle and they wonder why the world''s going the way it is yeah yeah all these chatrooms and that yeah yeah xx.
"unknown,unknown",that nearly stabbed me man .
"William,White::British",what''s the man called [ faceless ] yeah that''s it .
"William,White::British",we can stay here till six o''clock if you want but it''s up to you # sings # I can''t get where do these go man xx # sings # I can''t get no x check if this one''s level first man .
"unknown,unknown","all his friends said ""jus just try it man "" and."
"unknown,unknown",fitness first [mm ] man .
"William,White::British",we wasn''t far from newquay [ mhm ] jersey''s the best #1 oh shut up / man / # #2 /jersey/ is the best # #1 /jersey/ # #2 /new jersey/ is the best # #1 /have you been there?
"William,White::British",I can''t do that man you don''t either?
"Robert,Black::British (Black::Jamaican)",I could get that for fifty man I''ll stab you in the cheek # laughs # what like .
"Roshan,Mauritian/Black::Jamaican",it''s annoying man it''s been going on for ages .
"Roshan,Mauritian/Black::Jamaican",twenty five/ # #2 /maybe eighteen/ # /no I don''t/ what you talking about I get into big man raves # whispers # twenty five .
"Kevin,Mauritian/Black::Jamaican",Mauritius oh right okay that''s why me call it # sings # ... I''m xx xxx that''s a yard man right yeah it''s a yard man you get me original yard man /.. ask him about Jamaica/ xxxx # Robert laughs # .
"Roshan,Mauritian/Black::Jamaican",it''s a bit boring man ... is it different the er I mean .
"Sadiki,",ah ah and then the man had no legs .
"Oktar,",because in a family the men looks after the family the most.
"Barry,White::British","they should say ""ey mate that''s about your size it''s too small for men ""...now quickly just curl it # still here?"
"Tau,Black::Congolese",I''ll get someone else innit .. but still man .
"Tau,Black::Congolese",girls like fighting over boys too much man # mm .
"unknown,unknown","d my dad yeah he left me there and then do you know this man he came up to me and said ""who are you?"
"Robert,Black::British (Black::Jamaican)",I ran to him yeah and just started # kisses teeth # this country''s not dangerous man #1 started whacking that /wooden stick across his face though/ # #2 /you need.
"Tau,Black::Congolese","my dad was like ""no man this woman can''t mug me like that innit"" my dad has to have ."
"Rachel,",/uh wow/ /and the man ''s/ called the man''s called /shaggy who looks after scooby/ /xxx I I have a. erm/ a [ scooby doo shaggy ] a and I have a c d a scooby doo and play station.
"unknown,unknown",.. [ I don''t like him ] # laughs # .. [ yeah but I xxxxxxxx ] I have to # laughs # get off the phone man [ huh?
"Wahid,Black::Moroccan",leave it leave it come on please just leave it what is the school man yeah leave it # shouts # cool xxx .
"Wahid,Black::Moroccan",yeah knitted it wow they so small just like this much [ yeah ] size and this ah that''s good and I done that and I stuck a rub ribbon around it ribbon wow that''s nice name=Wahid wants to be a police officer .. # Ikram laughs # what''s funny man ?
"Paul,Black::African",yeah man .
"Paul,Black::African",there''s bare of us man # laughter # there''s bare of us trust me .. there''s a lot of us .
"Pelo,Black::African",oh man this is in trouble #1 oh man # #2 oh oh oh # #1 this is in trouble # #2 look # xx oh man look oh man let''s keep it on the paper so what''s this?
"Sue,unknown",I forgot what he name is repeats men''s names yeah man''s name is same like like man ''s name yeah yeah .
"Arfaan,unknown",okay but you support man u. do you support do you support man u as well?
"Stacey,White::British",/ we''re in a in /a like a youth/ thing /my hobbies/ I like /jogging I run a lot/ /where the man like wants to talk to/ us innit?
"unknown,unknown",I got it and then I said to the man .
"Stacey,White::British",I''m not going about ten minutes left gen ladies and gents ah man I listen to that man no no I I x man I had# ?
"Kenneth,Black::African",....I saw a shark # Kristin screams # that''s a shark # Kristin screaming in background # oh I saw a dragon man that''s cool .
"Kenneth,Black::African",i don''t have a key man because when i was a big .
"Angela,",don''t know you know that''s nice man it is the salt was like .
"Sue,unknown",mm # Angela sighs # yeah so what happened in the club with this man ?
"Sue,unknown",do you get men wax their face?
"Dexter,Black::Jamaican",yeah man # Aimee laughs # who would be your ideal man?
"Dexter,Black::Jamaican",no but yeah this is me man this is me man this is all me and you''d go to the hairdresser would you to have that done?
"Aimee,Black::Jamaican",wanna cheat on you have to leave you mate .. might get them urges as well can''t have a man .. gotta be single I don''t I haven''t found no one to tie me down ... can''t tie me down I think I''m too wild .. too much of a loose cannon .. do you see yourself being married at some point?
"Aimee,Black::Jamaican",xx I don''t know if I can pick up a man with a child I''m talking to someone at the moment .
"unknown,unknown",[ mm ] it''s like they''re so they''re so dumb man just .
"unknown,unknown",kind of determines who you are you live with her for you whole life god sakes .. [ mm ] so that''s how it is man .
"Aimee,Black::Jamaican",and the Somalians they''re relaxed/ but it''s the Africans man .. # so I hate them like that man ... they don''t they don''t compromise .
"Omar,",big man and all that .
"David,White::British",we just get along together like good we get on with it man yeah we just get on /but/ that''s like it''s one /good thing about our class as well/ /it''s not when you''re inside/ it''s when you''re outside .
"unknown,unknown","[ yeah yeah yeah ] and and the the the the man yeah he goes [ yeah yeah ] his name''s Dave yeah he goes .. ""erm Simon that xx right right in front of you"" ."
"Barry,White::British",Arsenal Man U yeah .. it''s good #1 I went to er # #2 the er # the xx tens boys like yeah is that at the new er Emirates stadium yeah [ yeah ] Arsenal .
"Mahir,",it zooms in # Arfaan laughs # okay man and then you take the spots xx then you press out .
"Sadik,",the town but some [ you can''t be in prison for that ] of them they in prison for just [ and think ] languages lot of the people this man name but when I was /.
"Lydia,White::British",the man would like/ # #2 /I don''t .
"Dumaka,Black::Nigerian",xxxxx mm yeah and name=Dumaka man yes xxx please I''m tired over this erm [ mm ] xxxx so is name name=Lydia ''s sister?
"Henry''s_father,White::British",and xxxxx rag and meh rag and bone men used to come round k give us your rags and they''d give you a gold fishit?
"Arfaan,unknown",[ so ] thank you very much so they don''t do this but she knows a man .
"Christopher,",yeah xx but then some man he .
"Beverley''s_mother,Black::Jamaican",they''re okay next door in front of my door there''s a uhm there''s a man he''s an African .
"Najib,",it''s just messed up let me just er xxxx it''s alright xxxx you''re gonna have to just go for them jobs that you know they don''t really do /a crb check/ /but I could still/ get my sia card nah you can''t get sia shut up you can''t get it ah [ nah ] that''s what happened to me that''s why I didn''t get it cha man I was going for my sia training man you can''t get it that''s the er security thing?
"Arfaan,unknown",usual for ben bengali men to cook?
"Siobhan,White::Irish/Scottish",she knows her man 's gonna defend her innit .. like mm .. # kisses teeth # girls like that yeah .
